r,X_r,Conn_r,euler_rips_r
18.98,405.2142857142857,2,47852
19.0,405.76190476190476,2,47919
19.01,406.3253968253968,2,47988
19.03,406.62698412698415,2,48025
19.04,414.56349206349205,2,48990
19.06,416.5238095238095,2,49230
19.1,417.95238095238096,2,49405
19.11,418.5,2,49472
19.14,419.03968253968253,2,49538
19.15,419.76190476190476,2,49626
19.17,420.26984126984127,2,49688
19.21,420.5238095238095,2,49719
19.25,421.13492063492066,2,49794
19.3,421.6111111111111,2,49852
19.31,422.14285714285717,2,49917
19.32,423.9761904761905,2,50141
19.42,428.984126984127,2,50755
19.45,431.0952380952381,2,51014
19.46,432.0952380952381,2,51136
19.48,432.968253968254,2,51243
19.5,434.06349206349205,2,51377
19.51,434.44444444444446,2,51423
19.53,445.6507936507937,2,52791
19.56,446.96031746031747,2,52952
19.61,449.1746031746032,2,53223
19.65,449.73809523809524,2,53291
19.66,450.015873015873,2,53324
19.68,451.531746031746,2,53509
19.71,453.63492063492066,2,53767
19.73,453.94444444444446,2,53804
19.79,454.23809523809524,2,53840
19.8,454.86507936507934,2,53916
19.82,456.3888888888889,2,54103
19.84,458.26190476190476,2,54332
19.85,458.54761904761904,2,54367
19.91,459.1666666666667,2,54443
19.92,460.36507936507934,2,54589
19.93,460.8253968253968,2,54645
19.97,462.031746031746,2,54793
19.99,462.37301587301585,2,54835
20.0,465.77777777777777,2,55251
20.01,465.92857142857144,2,55269
20.02,466.0952380952381,2,55289
20.03,468.2936507936508,2,55560
20.06,468.4920634920635,2,55584
20.09,470.7857142857143,2,55863
20.1,471.23015873015873,2,55916
20.12,471.468253968254,2,55943
20.13,471.8174603174603,2,55986
20.14,472.6746031746032,2,56091
20.16,490.3015873015873,2,58243
20.19,491.9920634920635,2,58450
20.23,492.8809523809524,2,58559
20.25,494.3492063492063,2,58740
20.31,495.85714285714283,2,58925
20.36,498.56349206349205,2,59258
20.4,499.73015873015873,2,59401
20.41,500.05555555555554,2,59441
20.43,500.3333333333333,2,59475
20.5,501.484126984127,2,59616
20.51,501.86507936507934,2,59663
20.52,503.2142857142857,2,59829
20.53,504.3968253968254,2,59974
20.56,505.015873015873,2,60050
20.58,505.64285714285717,2,60127
20.6,506.76190476190476,2,60264
20.62,519.6507936507936,2,61839
20.66,519.984126984127,2,61880
20.68,520.8730158730159,2,61989
20.71,522.1666666666666,2,62146
20.75,522.8571428571429,2,62231
20.82,523.6428571428571,2,62328
20.84,523.9603174603175,2,62367
20.87,524.9761904761905,2,62491
20.89,525.5396825396825,2,62560
20.9,525.8888888888889,2,62602
20.94,528.1111111111111,2,62874
20.95,528.3571428571429,2,62904
21.0,528.8888888888889,2,62969
21.01,529.5793650793651,2,63054
21.03,533.2380952380952,2,63504
21.06,534.6666666666666,2,63679
21.08,535.0,2,63720
21.1,535.1507936507936,2,63738
21.11,536.4603174603175,2,63899
21.15,537.515873015873,2,64029
21.19,538.2142857142857,2,64115
21.22,547.515873015873,2,65252
21.23,547.8650793650794,2,65295
21.27,548.8888888888889,2,65421
21.28,550.547619047619,2,65625
21.29,551.484126984127,2,65739
21.32,552.0079365079365,2,65803
21.37,559.031746031746,2,66663
21.38,561.1666666666666,2,66926
21.48,562.547619047619,2,67095
21.5,563.4444444444445,2,67205
21.51,578.3492063492064,2,69032
21.53,582.8571428571429,2,69586
21.55,583.2301587301587,2,69632
21.56,583.8650793650794,2,69709
21.57,585.6666666666666,2,69930
21.59,586.031746031746,2,69975
21.6,586.3730158730159,2,70017
21.64,590.1111111111111,2,70476
21.65,590.2063492063492,2,70487
21.67,590.5396825396825,2,70528
21.71,591.0952380952381,2,70596
21.74,592.4444444444445,2,70762
21.79,595.3333333333334,2,71117
21.81,595.7142857142857,2,71164
21.83,596.1904761904761,2,71222
21.85,596.968253968254,2,71317
21.87,597.984126984127,2,71441
21.92,599.2063492063492,2,71591
21.94,602.2936507936508,2,71969
21.96,602.9285714285714,2,72047
21.97,603.7460317460317,2,72148
21.99,604.547619047619,2,72247
22.0,605.4126984126984,2,72354
22.01,605.7063492063492,2,72390
22.11,608.468253968254,2,72731
22.14,609.2222222222222,2,72824
22.15,612.6825396825396,2,73250
22.2,613.063492063492,2,73297
22.21,615.3571428571429,2,73580
22.3,618.2698412698413,2,73940
22.33,619.1269841269841,2,74045
22.37,631.6507936507936,2,75580
22.39,632.0238095238095,2,75626
22.42,633.7380952380952,2,75836
22.46,633.984126984127,2,75866
22.47,634.7777777777778,2,75964
22.48,635.1428571428571,2,76009
22.5,638.3015873015873,2,76397
22.51,640.015873015873,2,76608
22.53,641.3095238095239,2,76766
22.55,641.547619047619,2,76794
22.57,641.968253968254,2,76846
22.59,643.1111111111111,2,76987
22.6,643.531746031746,2,77039
22.62,643.6904761904761,2,77058
22.63,645.1190476190476,2,77234
22.64,656.3809523809524,2,78618
22.66,657.7142857142857,2,78781
22.68,658.8968253968254,2,78927
22.73,659.2460317460317,2,78970
22.75,659.4761904761905,2,78998
22.78,660.4444444444445,2,79117
22.81,660.9603174603175,2,79180
22.83,662.0714285714286,2,79317
22.85,663.0714285714286,2,79440
22.86,663.9920634920635,2,79553
22.91,665.5396825396825,2,79744
22.95,665.952380952381,2,79795
22.99,667.5952380952381,2,79998
23.0,667.7539682539683,2,80017
23.01,668.5555555555555,2,80116
23.03,668.952380952381,2,80165
23.05,693.9285714285714,2,83235
23.08,695.5396825396825,2,83432
23.09,696.3730158730159,2,83535
23.12,698.0396825396825,2,83741
23.14,698.8650793650794,2,83842
23.17,699.8174603174604,2,83958
23.21,700.5079365079365,2,84041
23.26,702.1746031746031,2,84247
23.27,702.7142857142857,2,84313
23.29,703.063492063492,2,84356
23.31,705.4444444444445,2,84650
23.33,706.6190476190476,2,84795
23.35,707.3888888888889,2,84890
23.38,707.7619047619048,2,84936
23.41,708.1666666666666,2,84986
23.43,708.7777777777778,2,85061
23.44,709.5793650793651,2,85160
23.48,710.1349206349206,2,85228
23.5,710.531746031746,2,85277
23.51,712.1349206349206,2,85475
23.53,713.0,2,85582
23.54,713.515873015873,2,85645
23.55,714.1904761904761,2,85728
23.57,715.7698412698413,2,85922
23.59,726.2380952380952,2,87210
23.61,727.0079365079365,2,87304
23.64,727.5714285714286,2,87373
23.65,728.031746031746,2,87430
23.7,728.2857142857143,2,87461
23.71,728.6587301587301,2,87507
23.72,742.9285714285714,2,89263
23.76,743.968253968254,2,89392
23.77,744.3253968253969,2,89436
23.82,744.8888888888889,2,89505
23.84,745.2539682539683,2,89550
23.86,746.1984126984127,2,89667
23.91,746.6031746031746,2,89717
23.93,746.9603174603175,2,89761
23.95,747.9206349206349,2,89878
